iter	Passed	Remaining
0	2	261
1	5	251
2	7	238
3	9	226
4	11	223
5	13	210
6	15	206
7	17	205
8	19	196
9	21	194
10	23	193
11	25	189
12	27	184
13	29	183
14	31	180
15	33	175
16	35	175
17	37	169
18	38	165
19	41	164
20	43	162
21	44	158
22	46	154
23	48	153
24	50	150
25	51	146
26	53	143
27	55	142
28	56	137
29	58	135
30	59	133
31	61	129
32	62	126
33	64	125
34	67	124
35	69	122
36	71	121
37	73	119
38	74	117
39	76	115
40	79	113
41	79	109
42	81	108
43	83	106
44	85	104
45	86	101
46	88	99
47	90	97
48	92	96
49	93	93
50	95	91
51	97	89
52	98	87
53	99	85
54	101	82
55	103	81
56	104	78
57	106	76
58	108	75
59	109	73
60	111	71
61	112	69
62	113	66
63	115	65
64	117	63
65	119	61
66	120	59
67	123	57
68	124	56
69	126	54
70	128	52
71	129	50
72	130	48
73	132	46
74	135	45
75	136	43
76	138	41
77	140	39
78	142	37
79	144	36
80	146	34
81	148	32
82	149	30
83	151	28
84	153	27
85	154	25
86	156	23
87	158	21
88	159	19
89	161	17
90	163	16
91	164	14
92	166	12
93	168	10
94	170	8
95	171	7
96	173	5
97	175	3
98	177	1
99	179	0
